"play/step","miner_200_easy - _step","miner_200_easy - _step__MIN","miner_200_easy - _step__MAX","miner_200_easy - play/episodic_reward","miner_200_easy - play/episodic_reward__MIN","miner_200_easy - play/episodic_reward__MAX","miner_200_easy - test/episodic_reward","miner_200_easy - test/episodic_reward__MIN","miner_200_easy - test/episodic_reward__MAX"
"50215","510","510","510","0","0","0","","",""
"50913","519","519","519","","","","0","0","0"
"51215","520","520","520","0","0","0","","",""
"51282","521","521","521","0","0","0","","",""
"51913","530","530","530","","","","0","0","0"
"52282","531","531","531","0","0","0","","",""
"52913","540","540","540","","","","0","0","0"
"52931","541","541","541","","","","1","1","1"
"53282","542","542","542","0","0","0","","",""
"53931","550","550","550","","","","0","0","0"
"54282","551","551","551","0","0","0","","",""
"54931","559","559","559","","","","0","0","0"
"55065","560","560","560","","","","0","0","0"
"55282","552","552","552","1","1","1","","",""
"56065","569","569","569","","","","0","0","0"
"56282","561","561","561","0","0","0","","",""
"56367","570","570","570","0","0","0","","",""
"57065","579","579","579","","","","0","0","0"
"57268","580","580","580","","","","1","1","1"
"57367","581","581","581","0","0","0","","",""
"57384","591","591","591","","","","2","2","2"
"57468","582","582","582","0","0","0","","",""
"58384","602","602","602","","","","0","0","0"
"58421","603","603","603","","","","0","0","0"
"58468","592","592","592","0","0","0","","",""
"58655","593","593","593","0","0","0","","",""
"59421","613","613","613","","","","0","0","0"
"59655","604","604","604","0","0","0","","",""
"60421","622","622","622","","","","0","0","0"
"60608","623","623","623","","","","1","1","1"
"60642","624","624","624","","","","2","2","2"
"60655","614","614","614","0","0","0","","",""
"61642","634","634","634","","","","0","0","0"
"61655","625","625","625","0","0","0","","",""
"62642","645","645","645","","","","0","0","0"
"62655","635","635","635","0","0","0","","",""
"62775","636","636","636","0","0","0","","",""
"63642","655","655","655","","","","1","1","1"
"63775","646","646","646","0","0","0","","",""
"63999","656","656","656","","","","0","0","0"
"64775","657","657","657","0","0","0","","",""
"64837","658","658","658","0","0","0","","",""
"64999","661","661","661","","","","0","0","0"
"65837","662","662","662","0","0","0","","",""
"65999","671","671","671","","","","0","0","0"
"66837","672","672","672","0","0","0","","",""
"66999","681","681","681","","","","0","0","0"
"67130","682","682","682","","","","0","0","0"
"67837","683","683","683","1","1","1","","",""
"67924","684","684","684","2","2","2","","",""
"68130","693","693","693","","","","0","0","0"
"68924","694","694","694","0","0","0","","",""
"69130","703","703","703","","","","0","0","0"
"69924","704","704","704","0","0","0","","",""
"70130","712","712","712","","","","0","0","0"
"70259","713","713","713","","","","1","1","1"
"70347","714","714","714","","","","0","0","0"
"70924","715","715","715","0","0","0","","",""
"71347","724","724","724","","","","0","0","0"
"71414","725","725","725","","","","1","1","1"
"71446","726","726","726","","","","0","0","0"
"71548","727","727","727","","","","2","2","2"
"71924","728","728","728","0","0","0","","",""
"72548","737","737","737","","","","0","0","0"
"72924","738","738","738","0","0","0","","",""
"73548","747","747","747","","","","0","0","0"
"73924","748","748","748","0","0","0","","",""
"73958","749","749","749","0","0","0","","",""
"74548","758","758","758","","","","0","0","0"
"74958","759","759","759","0","0","0","","",""
"75548","767","767","767","","","","1","1","1"
"75958","768","768","768","0","0","0","","",""
"76548","777","777","777","","","","0","0","0"
"76958","778","778","778","0","0","0","","",""
"77548","787","787","787","","","","0","0","0"
"77958","788","788","788","0","0","0","","",""
"78548","797","797","797","","","","0","0","0"
"78958","798","798","798","0","0","0","","",""
"78963","799","799","799","0","0","0","","",""
"79548","802","802","802","","","","0","0","0"
"79625","803","803","803","","","","1","1","1"
"79963","804","804","804","0","0","0","","",""
"80072","805","805","805","0","0","0","","",""
"80089","806","806","806","0","0","0","","",""
"80238","807","807","807","1","1","1","","",""
"80625","811","811","811","","","","0","0","0"
"81238","812","812","812","0","0","0","","",""
"81625","822","822","822","","","","0","0","0"
"81773","813","813","813","0","0","0","","",""
"82625","833","833","833","","","","0","0","0"
"82773","823","823","823","0","0","0","","",""
"82883","824","824","824","1","1","1","","",""
"83625","842","842","842","","","","0","0","0"
"83797","843","843","843","","","","0","0","0"
"83883","834","834","834","0","0","0","","",""
"84797","848","848","848","","","","0","0","0"
"84883","844","844","844","0","0","0","","",""
"85797","853","853","853","","","","0","0","0"
"85883","849","849","849","0","0","0","","",""
"86797","857","857","857","","","","0","0","0"
"86883","854","854","854","0","0","0","","",""
"87797","868","868","868","","","","0","0","0"
"87883","858","858","858","0","0","0","","",""
"87911","859","859","859","0","0","0","","",""
"88797","879","879","879","","","","0","0","0"
"88911","869","869","869","0","0","0","","",""
"89039","870","870","870","2","2","2","","",""
"89797","889","889","889","","","","0","0","0"
"89892","890","890","890","","","","1","1","1"
"90039","880","880","880","0","0","0","","",""
"90892","899","899","899","","","","0","0","0"
"91039","891","891","891","2","2","2","","",""
"91892","909","909","909","","","","0","0","0"
"92039","900","900","900","0","0","0","","",""
"92892","919","919","919","","","","0","0","0"
"93039","910","910","910","0","0","0","","",""
"93892","929","929","929","","","","0","0","0"
"94039","920","920","920","0","0","0","","",""
"94892","939","939","939","","","","0","0","0"
"95039","930","930","930","0","0","0","","",""
"95892","948","948","948","","","","0","0","0"
"95952","949","949","949","","","","0","0","0"
"96039","940","940","940","0","0","0","","",""
"96952","959","959","959","","","","0","0","0"
"97039","950","950","950","0","0","0","","",""
"97952","970","970","970","","","","0","0","0"
"98039","960","960","960","0","0","0","","",""
"98124","961","961","961","0","0","0","","",""
"98952","980","980","980","","","","0","0","0"
"99124","971","971","971","0","0","0","","",""
"99952","990","990","990","","","","0","0","0"
"100124","981","981","981","0","0","0","","",""
"100952","999","999","999","","","","0","0","0"
"101124","991","991","991","0","0","0","","",""
"101952","1007","1007","1007","","","","0","0","0"
"102124","1000","1000","1000","0","0","0","","",""
"102952","1017","1017","1017","","","","0","0","0"
"103124","1008","1008","1008","0","0","0","","",""
"103126","1009","1009","1009","0","0","0","","",""
"103917","1018","1018","1018","0","0","0","","",""
"103952","1027","1027","1027","","","","0","0","0"
"104917","1028","1028","1028","0","0","0","","",""
"104952","1039","1039","1039","","","","0","0","0"
"104981","1029","1029","1029","0","0","0","","",""
"104992","1030","1030","1030","0","0","0","","",""
"105952","1049","1049","1049","","","","0","0","0"
"105992","1040","1040","1040","0","0","0","","",""
"106039","1050","1050","1050","","","","1","1","1"
"106208","1051","1051","1051","","","","2","2","2"
"106992","1052","1052","1052","0","0","0","","",""
"107208","1061","1061","1061","","","","0","0","0"
"107735","1070","1070","1070","","","","0","0","0"
"107781","1071","1071","1071","","","","1","1","1"
"107829","1072","1072","1072","","","","0","0","0"
"107992","1062","1062","1062","0","0","0","","",""
"108829","1082","1082","1082","","","","0","0","0"
"108992","1073","1073","1073","0","0","0","","",""
"109829","1092","1092","1092","","","","0","0","0"
"109992","1083","1083","1083","0","0","0","","",""
"110829","1102","1102","1102","","","","0","0","0"
"110992","1093","1093","1093","0","0","0","","",""
"111829","1112","1112","1112","","","","0","0","0"
"111992","1103","1103","1103","0","0","0","","",""
"112829","1121","1121","1121","","","","0","0","0"
"112992","1113","1113","1113","0","0","0","","",""
"113829","1131","1131","1131","","","","0","0","0"
"113992","1122","1122","1122","0","0","0","","",""
"114829","1141","1141","1141","","","","0","0","0"
"114992","1132","1132","1132","0","0","0","","",""
"115829","1151","1151","1151","","","","0","0","0"
"115992","1142","1142","1142","0","0","0","","",""
"116829","1161","1161","1161","","","","0","0","0"
