"play/step","coinrun_500_hard - _step","coinrun_500_hard - _step__MIN","coinrun_500_hard - _step__MAX","coinrun_500_hard - play/episodic_reward","coinrun_500_hard - play/episodic_reward__MIN","coinrun_500_hard - play/episodic_reward__MAX","coinrun_500_hard - test/episodic_reward","coinrun_500_hard - test/episodic_reward__MIN","coinrun_500_hard - test/episodic_reward__MAX"
"25696","620","620","620","10","10","10","","",""
"25923","640","640","640","","","","10","10","10"
"26032","623","623","623","0","0","0","","",""
"26072","624","624","624","0","0","0","","",""
"26233","644","644","644","","","","0","0","0"
"26618","650","650","650","","","","0","0","0"
"26862","652","652","652","0","0","0","","",""
"26931","677","677","677","","","","10","10","10"
"27041","679","679","679","","","","10","10","10"
"27407","660","660","660","10","10","10","","",""
"27472","661","661","661","0","0","0","","",""
"28038","691","691","691","10","10","10","","",""
"28163","710","710","710","","","","0","0","0"
"28335","694","694","694","10","10","10","","",""
"28385","695","695","695","10","10","10","","",""
"28486","714","714","714","","","","10","10","10"
"28556","698","698","698","0","0","0","","",""
"28894","718","718","718","0","0","0","","",""
"29155","744","744","744","","","","10","10","10"
"29203","722","722","722","0","0","0","","",""
"29430","748","748","748","","","","0","0","0"
"29460","725","725","725","10","10","10","","",""
"29519","726","726","726","0","0","0","","",""
"29551","727","727","727","0","0","0","","",""
"29624","728","728","728","0","0","0","","",""
"29724","771","771","771","","","","10","10","10"
"29758","772","772","772","","","","0","0","0"
"29901","753","753","753","0","0","0","","",""
"29919","754","754","754","0","0","0","","",""
"29953","755","755","755","10","10","10","","",""
"30257","761","761","761","0","0","0","","",""
"30340","763","763","763","0","0","0","","",""
"30387","779","779","779","","","","10","10","10"
"30494","781","781","781","","","","0","0","0"
"30869","806","806","806","","","","10","10","10"
"30900","807","807","807","","","","0","0","0"
"31068","787","787","787","0","0","0","","",""
"31119","788","788","788","0","0","0","","",""
"31170","789","789","789","0","0","0","","",""
"31172","811","811","811","","","","10","10","10"
"31189","812","812","812","","","","0","0","0"
"31632","817","817","817","","","","10","10","10"
"31688","818","818","818","","","","10","10","10"
"31775","839","839","839","","","","0","0","0"
"31795","819","819","819","0","0","0","","",""
"31967","842","842","842","","","","10","10","10"
"32033","822","822","822","10","10","10","","",""
"32084","823","823","823","10","10","10","","",""
"32153","824","824","824","10","10","10","","",""
"32322","847","847","847","","","","0","0","0"
"32649","829","829","829","0","0","0","","",""
"32685","830","830","830","10","10","10","","",""
"32714","852","852","852","","","","10","10","10"
"33041","857","857","857","0","0","0","","",""
"33154","878","878","878","","","","0","0","0"
"33159","859","859","859","0","0","0","","",""
"33209","879","879","879","","","","10","10","10"
"33261","881","881","881","","","","10","10","10"
"33339","861","861","861","10","10","10","","",""
"33491","862","862","862","10","10","10","","",""
"33537","885","885","885","","","","0","0","0"
"33559","863","863","863","10","10","10","","",""
"33675","888","888","888","","","","10","10","10"
"33815","891","891","891","0","0","0","","",""
"33841","908","908","908","","","","10","10","10"
"33861","892","892","892","10","10","10","","",""
"33964","893","893","893","0","0","0","","",""
"34163","912","912","912","","","","10","10","10"
"34299","895","895","895","10","10","10","","",""
"34359","896","896","896","10","10","10","","",""
"34363","915","915","915","","","","10","10","10"
"34438","916","916","916","","","","10","10","10"
"34440","898","898","898","0","0","0","","",""
"34720","919","919","919","","","","10","10","10"
"34773","903","903","903","10","10","10","","",""
"34810","904","904","904","10","10","10","","",""
"34837","938","938","938","","","","10","10","10"
"35559","931","931","931","0","0","0","","",""
"35762","952","952","952","","","","10","10","10"
"35811","953","953","953","","","","10","10","10"
"35863","973","973","973","","","","10","10","10"
"36072","976","976","976","","","","10","10","10"
"36079","958","958","958","10","10","10","","",""
"36209","960","960","960","0","0","0","","",""
"36348","977","977","977","","","","0","0","0"
"36840","984","984","984","","","","10","10","10"
"37254","1009","1009","1009","","","","0","0","0"
"37368","990","990","990","10","10","10","","",""
"37434","1011","1011","1011","","","","0","0","0"
"37524","1013","1013","1013","","","","10","10","10"
"37715","994","994","994","0","0","0","","",""
"37770","1019","1019","1019","","","","0","0","0"
"37781","995","995","995","0","0","0","","",""
"37988","1023","1023","1023","0","0","0","","",""
"38127","1025","1025","1025","10","10","10","","",""
"38202","1047","1047","1047","","","","10","10","10"
"38289","1048","1048","1048","","","","0","0","0"
"38614","1031","1031","1031","0","0","0","","",""
"38636","1052","1052","1052","","","","0","0","0"
"38646","1032","1032","1032","0","0","0","","",""
"38736","1054","1054","1054","","","","0","0","0"
"38755","1055","1055","1055","","","","0","0","0"
"38885","1056","1056","1056","","","","0","0","0"
"38989","1057","1057","1057","10","10","10","","",""
"39102","1081","1081","1081","","","","0","0","0"
"39155","1082","1082","1082","","","","10","10","10"
"39201","1060","1060","1060","10","10","10","","",""
"39233","1072","1061","1083","10","10","10","0","0","0"
"39398","1064","1064","1064","10","10","10","","",""
"39493","1065","1065","1065","0","0","0","","",""
"39564","1066","1066","1066","10","10","10","","",""
"39692","1087","1087","1087","","","","10","10","10"
"39697","1067","1067","1067","0","0","0","","",""
"39770","1068","1068","1068","10","10","10","","",""
"39815","1069","1069","1069","0","0","0","","",""
"39895","1089","1089","1089","","","","0","0","0"
"39952","1111","1111","1111","","","","10","10","10"
"40054","1091","1091","1091","10","10","10","","",""
"40275","1117","1117","1117","","","","0","0","0"
"40559","1122","1122","1122","","","","0","0","0"
"40614","1097","1097","1097","0","0","0","","",""
"40645","1098","1098","1098","0","0","0","","",""
"40757","1124","1124","1124","","","","0","0","0"
"40960","1126","1126","1126","","","","0","0","0"
"41219","1142","1142","1142","","","","10","10","10"
"41455","1146","1146","1146","","","","10","10","10"
"41720","1134","1134","1134","0","0","0","","",""
"42048","1168","1168","1168","","","","10","10","10"
"42207","1156","1156","1156","0","0","0","","",""
"42442","1158","1158","1158","10","10","10","","",""
"43112","1177","1177","1177","0","0","0","","",""
"43343","1181","1181","1181","10","10","10","","",""
"43605","1205","1205","1205","","","","0","0","0"
"43657","1184","1184","1184","10","10","10","","",""
"43764","1207","1207","1207","","","","10","10","10"
"43984","1191","1191","1191","10","10","10","","",""
"44107","1233","1233","1233","","","","0","0","0"
"44141","1234","1234","1234","","","","0","0","0"
"44225","1214","1214","1214","0","0","0","","",""
"44334","1237","1237","1237","","","","0","0","0"
"44520","1240","1240","1240","","","","10","10","10"
"44601","1241","1241","1241","","","","10","10","10"
"44658","1242","1242","1242","","","","0","0","0"
"44734","1221","1221","1221","10","10","10","","",""
"44857","1244","1244","1244","","","","10","10","10"
"45091","1246","1246","1246","10","10","10","","",""
"45181","1265","1265","1265","","","","0","0","0"
"45347","1268","1268","1268","","","","0","0","0"
"45376","1249","1249","1249","0","0","0","","",""
"45394","1269","1269","1269","","","","10","10","10"
"45464","1270","1270","1270","","","","10","10","10"
"45521","1251","1251","1251","10","10","10","","",""
"45570","1252","1252","1252","0","0","0","","",""
"45672","1271","1271","1271","","","","0","0","0"
"45888","1254","1254","1254","0","0","0","","",""
"45925","1273","1273","1273","","","","0","0","0"
"46069","1257","1257","1257","0","0","0","","",""
"46119","1294","1294","1294","","","","0","0","0"
"46286","1276","1276","1276","0","0","0","","",""
"46436","1278","1278","1278","0","0","0","","",""
"46439","1298","1298","1298","","","","10","10","10"
"46512","1279","1279","1279","0","0","0","","",""
"46542","1280","1280","1280","0","0","0","","",""
"46660","1281","1281","1281","10","10","10","","",""
"46668","1300","1300","1300","","","","0","0","0"
"46780","1282","1282","1282","10","10","10","","",""
"46814","1283","1283","1283","0","0","0","","",""
"47083","1286","1286","1286","10","10","10","","",""
"47240","1323","1323","1323","","","","10","10","10"
"47314","1307","1307","1307","0","0","0","","",""
"47397","1308","1308","1308","10","10","10","","",""
"47503","1326","1326","1326","","","","10","10","10"
"47511","1311","1311","1311","10","10","10","","",""
"47556","1312","1312","1312","10","10","10","","",""
"47701","1314","1314","1314","0","0","0","","",""
"47742","1315","1315","1315","0","0","0","","",""
"47932","1330","1330","1330","","","","0","0","0"
"48085","1332","1332","1332","","","","10","10","10"
"48309","1357","1357","1357","","","","10","10","10"
"48345","1336","1336","1336","10","10","10","","",""
"48414","1337","1337","1337","10","10","10","","",""
"48415","1358","1358","1358","","","","0","0","0"
"48483","1338","1338","1338","10","10","10","","",""
"48582","1340","1340","1340","10","10","10","","",""
"48679","1341","1341","1341","0","0","0","","",""
