"play/step","coinrun_500_hard - _step","coinrun_500_hard - _step__MIN","coinrun_500_hard - _step__MAX","coinrun_500_hard - play/episodic_reward","coinrun_500_hard - play/episodic_reward__MIN","coinrun_500_hard - play/episodic_reward__MAX","coinrun_500_hard - test/episodic_reward","coinrun_500_hard - test/episodic_reward__MIN","coinrun_500_hard - test/episodic_reward__MAX"
"681098","23189","23189","23189","","","","0","0","0"
"681647","23175","23175","23175","0","0","0","","",""
"681772","23199","23199","23199","","","","10","10","10"
"681863","23180","23180","23180","10","10","10","","",""
"681929","23182","23182","23182","0","0","0","","",""
"681961","23204","23204","23204","","","","0","0","0"
"682007","23206","23206","23206","10","10","10","","",""
"682047","23234","23234","23234","","","","10","10","10"
"682142","23237","23237","23237","","","","10","10","10"
"682194","23211","23211","23211","0","0","0","","",""
"682238","23212","23212","23212","0","0","0","","",""
"682261","23213","23213","23213","0","0","0","","",""
"682302","23214","23214","23214","10","10","10","","",""
"682308","23239","23239","23239","","","","10","10","10"
"682335","23215","23215","23215","10","10","10","","",""
"682404","23241","23241","23241","","","","10","10","10"
"682560","23245","23245","23245","","","","0","0","0"
"682605","23219","23219","23219","0","0","0","","",""
"682615","23246","23246","23246","","","","0","0","0"
"682636","23220","23220","23220","0","0","0","","",""
"682728","23248","23248","23248","","","","10","10","10"
"682737","23222","23222","23222","10","10","10","","",""
"682756","23249","23249","23249","","","","0","0","0"
"682826","23224","23224","23224","10","10","10","","",""
"682930","23253","23253","23253","","","","0","0","0"
"683050","23256","23256","23256","10","10","10","","",""
"683255","23258","23258","23258","10","10","10","","",""
"683323","23260","23260","23260","0","0","0","","",""
"683360","23261","23261","23261","10","10","10","","",""
"683415","23262","23262","23262","10","10","10","","",""
"683540","23295","23295","23295","","","","10","10","10"
"683609","23297","23297","23297","","","","0","0","0"
"683629","23298","23298","23298","","","","10","10","10"
"683699","23299","23299","23299","","","","0","0","0"
"683794","23270","23270","23270","10","10","10","","",""
"683823","23303","23303","23303","","","","10","10","10"
"683958","23274","23274","23274","10","10","10","","",""
"683977","23275","23275","23275","10","10","10","","",""
"683986","23306","23306","23306","","","","0","0","0"
"683999","23276","23276","23276","10","10","10","","",""
"684049","23307","23307","23307","0","0","0","","",""
"684182","23328","23328","23328","","","","10","10","10"
"684285","23311","23311","23311","0","0","0","","",""
"684607","23315","23315","23315","10","10","10","","",""
"684743","23335","23335","23335","","","","10","10","10"
"684862","23320","23320","23320","0","0","0","","",""
"685074","23363","23363","23363","","","","10","10","10"
"685077","23342","23342","23342","0","0","0","","",""
"685223","23346","23346","23346","10","10","10","","",""
"685357","23369","23369","23369","","","","10","10","10"
"685381","23348","23348","23348","0","0","0","","",""
"685459","23371","23371","23371","","","","0","0","0"
"685722","23352","23352","23352","10","10","10","","",""
"685833","23377","23377","23377","","","","10","10","10"
"686045","23380","23380","23380","","","","10","10","10"
"686063","23357","23357","23357","10","10","10","","",""
"686118","23381","23381","23381","0","0","0","","",""
"686199","23382","23382","23382","10","10","10","","",""
"686225","23405","23405","23405","","","","10","10","10"
"686238","23383","23383","23383","10","10","10","","",""
"686725","23417","23417","23417","","","","10","10","10"
"686881","23421","23421","23421","","","","10","10","10"
"686882","23392","23392","23392","10","10","10","","",""
"687095","23425","23425","23425","","","","10","10","10"
"687474","23432","23432","23432","10","10","10","","",""
"687675","23436","23436","23436","0","0","0","","",""
"687814","23464","23464","23464","","","","10","10","10"
"687851","23465","23465","23465","","","","10","10","10"
"687923","23441","23441","23441","0","0","0","","",""
"687989","23442","23442","23442","10","10","10","","",""
"688018","23467","23467","23467","","","","0","0","0"
"688162","23469","23469","23469","10","10","10","","",""
"688335","23471","23471","23471","0","0","0","","",""
"688365","23490","23490","23490","","","","0","0","0"
"688475","23473","23473","23473","10","10","10","","",""
"688636","23495","23495","23495","","","","10","10","10"
"688665","23496","23496","23496","","","","0","0","0"
"688863","23500","23500","23500","","","","0","0","0"
"688967","23480","23480","23480","0","0","0","","",""
"689074","23483","23483","23483","10","10","10","","",""
"689149","23506","23506","23506","","","","10","10","10"
"689238","23533","23533","23533","","","","10","10","10"
"689244","23509","23509","23509","0","0","0","","",""
"689319","23536","23536","23536","","","","10","10","10"
"689337","23537","23537","23537","","","","10","10","10"
"689377","23510","23510","23510","10","10","10","","",""
"689482","23540","23540","23540","","","","0","0","0"
"689484","23511","23511","23511","0","0","0","","",""
"689540","23513","23513","23513","10","10","10","","",""
"689591","23514","23514","23514","10","10","10","","",""
"689642","23515","23515","23515","10","10","10","","",""
"689704","23543","23543","23543","","","","10","10","10"
"689839","23546","23546","23546","","","","10","10","10"
"689931","23548","23548","23548","","","","10","10","10"
"690005","23550","23550","23550","","","","10","10","10"
"690021","23521","23521","23521","10","10","10","","",""
"690182","23556","23556","23556","0","0","0","","",""
"690184","23581","23581","23581","","","","10","10","10"
"690244","23582","23582","23582","","","","10","10","10"
"690296","23558","23558","23558","0","0","0","","",""
"690360","23585","23585","23585","","","","10","10","10"
"690396","23587","23587","23587","","","","0","0","0"
"690493","23564","23564","23564","10","10","10","","",""
"690544","23589","23589","23589","","","","10","10","10"
"690565","23567","23567","23567","10","10","10","","",""
"690706","23592","23592","23592","","","","10","10","10"
"690769","23593","23593","23593","","","","10","10","10"
"690849","23596","23596","23596","","","","10","10","10"
"691012","23601","23601","23601","","","","10","10","10"
"691030","23573","23573","23573","0","0","0","","",""
"691085","23604","23604","23604","","","","10","10","10"
"691138","23606","23606","23606","","","","10","10","10"
"691153","23575","23575","23575","0","0","0","","",""
"691160","23607","23607","23607","","","","0","0","0"
"691180","23608","23608","23608","","","","10","10","10"
"691337","23633","23633","23633","","","","0","0","0"
"691373","23611","23611","23611","0","0","0","","",""
"691534","23638","23638","23638","","","","10","10","10"
"691569","23615","23615","23615","0","0","0","","",""
"691593","23616","23616","23616","10","10","10","","",""
"691627","23617","23617","23617","10","10","10","","",""
"691682","23618","23618","23618","10","10","10","","",""
"691772","23640","23640","23640","","","","0","0","0"
"691852","23642","23642","23642","","","","10","10","10"
"691936","23622","23622","23622","10","10","10","","",""
"692559","23649","23649","23649","0","0","0","","",""
"692707","23651","23651","23651","0","0","0","","",""
"692827","23677","23677","23677","","","","10","10","10"
"692888","23679","23679","23679","","","","10","10","10"
"693019","23657","23657","23657","0","0","0","","",""
"693056","23658","23658","23658","0","0","0","","",""
"693126","23660","23660","23660","10","10","10","","",""
"693150","23661","23661","23661","10","10","10","","",""
"693166","23683","23683","23683","","","","10","10","10"
"693305","23685","23685","23685","0","0","0","","",""
"693331","23710","23710","23710","","","","10","10","10"
"693399","23687","23687","23687","0","0","0","","",""
"693446","23688","23688","23688","10","10","10","","",""
"693633","23692","23692","23692","0","0","0","","",""
"693738","23720","23720","23720","","","","0","0","0"
"693853","23695","23695","23695","10","10","10","","",""
"693899","23723","23723","23723","","","","10","10","10"
"693967","23696","23696","23696","10","10","10","","",""
"694051","23724","23724","23724","","","","10","10","10"
"694152","23725","23725","23725","","","","0","0","0"
"694204","23702","23702","23702","10","10","10","","",""
"694266","23727","23727","23727","","","","0","0","0"
"694375","23754","23754","23754","","","","0","0","0"
"694452","23732","23732","23732","0","0","0","","",""
"694530","23756","23756","23756","","","","10","10","10"
"694663","23735","23735","23735","10","10","10","","",""
"694687","23736","23736","23736","10","10","10","","",""
"694728","23737","23737","23737","10","10","10","","",""
"694756","23759","23759","23759","","","","10","10","10"
"694889","23760","23760","23760","","","","10","10","10"
"694925","23761","23761","23761","","","","10","10","10"
"695034","23742","23742","23742","10","10","10","","",""
"695119","23763","23763","23763","","","","10","10","10"
"695203","23746","23746","23746","10","10","10","","",""
"695261","23765","23765","23765","","","","0","0","0"
"695463","23770","23770","23770","0","0","0","","",""
"695715","23774","23774","23774","0","0","0","","",""
"695863","23776","23776","23776","10","10","10","","",""
"696006","23798","23798","23798","","","","10","10","10"
"696096","23799","23799","23799","","","","0","0","0"
"696260","23803","23803","23803","","","","10","10","10"
"696373","23838","23838","23838","","","","0","0","0"
"696491","23809","23809","23809","10","10","10","","",""
"696527","23810","23810","23810","10","10","10","","",""
"696596","23840","23840","23840","","","","0","0","0"
"696682","23813","23813","23813","10","10","10","","",""
"696700","23814","23814","23814","0","0","0","","",""
"696827","23846","23846","23846","","","","10","10","10"
"696847","23847","23847","23847","","","","0","0","0"
"696917","23849","23849","23849","","","","0","0","0"
"696975","23820","23820","23820","0","0","0","","",""
"697046","23853","23853","23853","","","","10","10","10"
"697058","23821","23821","23821","10","10","10","","",""
"697168","23854","23854","23854","","","","10","10","10"
"697171","23826","23826","23826","10","10","10","","",""
"697263","23857","23857","23857","","","","10","10","10"
"697280","23827","23827","23827","10","10","10","","",""
"697283","23858","23858","23858","","","","10","10","10"
"697559","23864","23864","23864","10","10","10","","",""
"697581","23895","23895","23895","","","","10","10","10"
"697674","23898","23898","23898","","","","10","10","10"
"697714","23869","23869","23869","0","0","0","","",""
"697822","23902","23902","23902","","","","10","10","10"
"697879","23872","23872","23872","10","10","10","","",""
"698046","23876","23876","23876","10","10","10","","",""
"698133","23878","23878","23878","10","10","10","","",""
"698153","23879","23879","23879","0","0","0","","",""
"698232","23882","23882","23882","10","10","10","","",""
"698323","23912","23912","23912","","","","0","0","0"
"698412","23914","23914","23914","10","10","10","","",""
"698445","23942","23942","23942","","","","10","10","10"
"698502","23915","23915","23915","0","0","0","","",""
"698523","23944","23944","23944","","","","10","10","10"
"698718","23948","23948","23948","","","","10","10","10"
"698779","23950","23950","23950","","","","0","0","0"
"699066","23927","23927","23927","10","10","10","","",""
"699114","23928","23928","23928","10","10","10","","",""
"699130","23955","23955","23955","","","","10","10","10"
"699164","23956","23956","23956","","","","10","10","10"
"699274","23959","23959","23959","","","","10","10","10"
"699328","23933","23933","23933","0","0","0","","",""
"699350","23934","23934","23934","10","10","10","","",""
"699395","23962","23962","23962","10","10","10","","",""
"699415","23963","23963","23963","0","0","0","","",""
"699500","23993","23993","23993","","","","10","10","10"
"699644","23966","23966","23966","10","10","10","","",""
"699825","23970","23970","23970","10","10","10","","",""
"699873","23997","23997","23997","","","","10","10","10"
"699957","23999","23999","23999","","","","10","10","10"
"699997","23974","23974","23974","10","10","10","","",""
"700033","23975","23975","23975","10","10","10","","",""
"700076","24002","24002","24002","","","","0","0","0"
"700103","23976","23976","23976","10","10","10","","",""
"700181","24004","24004","24004","","","","0","0","0"
"700224","24005","24005","24005","","","","10","10","10"
"700314","23981","23981","23981","0","0","0","","",""
"700356","24009","24009","24009","","","","0","0","0"
"700424","24011","24011","24011","10","10","10","","",""
"700431","24034","24034","24034","","","","10","10","10"
"700484","24036","24036","24036","","","","0","0","0"
"700497","24013","24013","24013","10","10","10","","",""
"700653","24016","24016","24016","10","10","10","","",""
"700669","24040","24040","24040","","","","0","0","0"
"700795","24021","24021","24021","0","0","0","","",""
"701057","24025","24025","24025","10","10","10","","",""
"701443","24083","24083","24083","","","","0","0","0"
"701609","24087","24087","24087","","","","10","10","10"
"701678","24088","24088","24088","","","","10","10","10"
"701964","24067","24067","24067","0","0","0","","",""
"702084","24096","24096","24096","","","","10","10","10"
"702148","24084.5","24070","24099","10","10","10","10","10","10"
"702173","24100","24100","24100","","","","0","0","0"
"702286","24103","24103","24103","","","","0","0","0"
"702423","24105","24105","24105","","","","0","0","0"
"702523","24107","24107","24107","10","10","10","","",""
"702642","24109","24109","24109","10","10","10","","",""
"702708","24110","24110","24110","0","0","0","","",""
"702757","24138","24138","24138","","","","0","0","0"
"702844","24140","24140","24140","","","","10","10","10"
"702857","24114","24114","24114","10","10","10","","",""
"702930","24143","24143","24143","","","","10","10","10"
"702971","24117","24117","24117","10","10","10","","",""
"702995","24145","24145","24145","","","","0","0","0"
"703027","24119","24119","24119","0","0","0","","",""
"703083","24120","24120","24120","0","0","0","","",""
"703167","24150","24150","24150","","","","10","10","10"
"703339","24124","24124","24124","0","0","0","","",""
"703422","24156","24156","24156","","","","0","0","0"
"703425","24126","24126","24126","10","10","10","","",""
"703445","24157","24157","24157","","","","10","10","10"
"703500","24158","24158","24158","10","10","10","","",""
"703608","24187","24187","24187","","","","10","10","10"
"703675","24189","24189","24189","","","","10","10","10"
"703710","24190","24190","24190","","","","10","10","10"
"703883","24195","24195","24195","","","","10","10","10"
"703991","24196","24196","24196","","","","0","0","0"
"704000","24165","24165","24165","0","0","0","","",""
"704033","24166","24166","24166","10","10","10","","",""
"704198","24201","24201","24201","","","","10","10","10"
"704417","24207","24207","24207","","","","10","10","10"
"704454","24209","24209","24209","","","","0","0","0"
"704541","24211","24211","24211","10","10","10","","",""
"704579","24233","24233","24233","","","","10","10","10"
"704720","24213","24213","24213","10","10","10","","",""
"704901","24217","24217","24217","10","10","10","","",""
"704936","24218","24218","24218","0","0","0","","",""
"705155","24242","24242","24242","","","","0","0","0"
"705215","24223","24223","24223","10","10","10","","",""
"705317","24224","24224","24224","10","10","10","","",""
"705454","24248","24248","24248","","","","10","10","10"
"705472","24249","24249","24249","","","","0","0","0"
"705611","24251","24251","24251","10","10","10","","",""
"705661","24276","24276","24276","","","","0","0","0"
"705686","24277","24277","24277","","","","10","10","10"
"705759","24278","24278","24278","","","","0","0","0"
"705879","24255","24255","24255","0","0","0","","",""
"706012","24258","24258","24258","10","10","10","","",""
"706128","24259","24259","24259","10","10","10","","",""
"706137","24286","24286","24286","","","","0","0","0"
"706333","24288","24288","24288","","","","10","10","10"
"706342","24265","24265","24265","10","10","10","","",""
"706456","24266","24266","24266","0","0","0","","",""
"706528","24268","24268","24268","0","0","0","","",""
"706882","24333","24333","24333","","","","10","10","10"
"707008","24301","24301","24301","10","10","10","","",""
"707062","24303","24303","24303","10","10","10","","",""
"707080","24304","24304","24304","0","0","0","","",""
"707090","24340","24340","24340","","","","0","0","0"
"707130","24342","24342","24342","","","","10","10","10"
"707207","24344","24344","24344","","","","0","0","0"
"707210","24308","24308","24308","10","10","10","","",""
"707243","24345","24345","24345","","","","10","10","10"
"707341","24312","24312","24312","10","10","10","","",""
"707405","24314","24314","24314","0","0","0","","",""
"707417","24348","24348","24348","","","","10","10","10"
"707471","24350","24350","24350","","","","10","10","10"
"707525","24352","24352","24352","","","","10","10","10"
"707573","24353","24353","24353","","","","10","10","10"
"707693","24384","24384","24384","","","","0","0","0"
"707712","24385","24385","24385","","","","10","10","10"
"707798","24359","24359","24359","10","10","10","","",""
"707809","24386","24386","24386","","","","10","10","10"
"707871","24389","24389","24389","","","","10","10","10"
"707961","24391","24391","24391","","","","10","10","10"
"707975","24363","24363","24363","10","10","10","","",""
"708032","24392","24392","24392","","","","0","0","0"
"708117","24393","24393","24393","","","","0","0","0"
"708457","24373","24373","24373","10","10","10","","",""
"708525","24400","24400","24400","","","","10","10","10"
"708615","24435","24435","24435","","","","0","0","0"
"708683","24436","24436","24436","","","","10","10","10"
"708799","24438","24438","24438","","","","10","10","10"
"708864","24406","24406","24406","10","10","10","","",""
"709113","24414","24414","24414","10","10","10","","",""
"709167","24415","24415","24415","0","0","0","","",""
"709203","24416","24416","24416","10","10","10","","",""
"709378","24450","24450","24450","","","","10","10","10"
"709457","24452","24452","24452","","","","10","10","10"
"709527","24424","24424","24424","0","0","0","","",""
"709633","24487","24487","24487","","","","10","10","10"
"709862","24493","24493","24493","","","","10","10","10"
"710023","24497","24497","24497","","","","10","10","10"
"710043","24498","24498","24498","","","","10","10","10"
"710087","24500","24500","24500","","","","10","10","10"
"710089","24462","24462","24462","10","10","10","","",""
"710106","24501","24501","24501","","","","0","0","0"
"710163","24503","24503","24503","","","","10","10","10"
"710313","24506","24506","24506","","","","10","10","10"
"710351","24470","24470","24470","10","10","10","","",""
"710551","24512","24512","24512","","","","10","10","10"
"710644","24515","24515","24515","","","","10","10","10"
"710665","24550","24550","24550","","","","10","10","10"
"710710","24517","24517","24517","10","10","10","","",""
"710728","24518","24518","24518","0","0","0","","",""
"710779","24553","24553","24553","","","","10","10","10"
"710878","24520","24520","24520","10","10","10","","",""
"711097","24525","24525","24525","10","10","10","","",""
"711110","24559","24559","24559","","","","0","0","0"
"711194","24561","24561","24561","","","","10","10","10"
"711214","24562","24562","24562","","","","10","10","10"
"711236","24563","24563","24563","","","","0","0","0"
"711304","24532","24532","24532","10","10","10","","",""
"711368","24565","24565","24565","","","","10","10","10"
"711381","24534","24534","24534","10","10","10","","",""
"711524","24537","24537","24537","10","10","10","","",""
"711619","24541","24541","24541","0","0","0","","",""
"711788","24604","24604","24604","","","","10","10","10"
"711978","24581","24581","24581","10","10","10","","",""
"712093","24614","24614","24614","","","","10","10","10"
"712113","24615","24615","24615","","","","10","10","10"
"712160","24586","24586","24586","10","10","10","","",""
"712188","24617","24617","24617","","","","0","0","0"
"712226","24618","24618","24618","","","","0","0","0"
"712429","24590","24590","24590","10","10","10","","",""
"712677","24593","24593","24593","10","10","10","","",""
"712702","24594","24594","24594","0","0","0","","",""
"712717","24654","24654","24654","","","","10","10","10"
"712848","24656","24656","24656","","","","10","10","10"
"713092","24664","24664","24664","","","","0","0","0"
"713145","24633","24633","24633","10","10","10","","",""
"713245","24670","24670","24670","","","","0","0","0"
"713290","24672","24672","24672","","","","10","10","10"
"713404","24638","24638","24638","10","10","10","","",""
"713520","24640","24640","24640","0","0","0","","",""
"713531","24678","24678","24678","","","","10","10","10"
"713650","24681","24681","24681","","","","10","10","10"
"713685","24644","24644","24644","10","10","10","","",""
"713698","24682","24682","24682","","","","10","10","10"
"713729","24712","24712","24712","","","","0","0","0"
"713757","24683","24683","24683","10","10","10","","",""
"713834","24686","24686","24686","10","10","10","","",""
"713860","24716","24716","24716","","","","10","10","10"
"713880","24688","24688","24688","0","0","0","","",""
"713897","24717","24717","24717","","","","0","0","0"
"713937","24689","24689","24689","0","0","0","","",""
"713987","24720","24720","24720","","","","0","0","0"
"714027","24722","24722","24722","","","","0","0","0"
"714242","24726","24726","24726","","","","10","10","10"
"714256","24694","24694","24694","10","10","10","","",""
"714294","24727","24727","24727","","","","10","10","10"
"714346","24728","24728","24728","","","","10","10","10"
"714388","24696","24696","24696","10","10","10","","",""
"714530","24733","24733","24733","","","","10","10","10"
"714577","24735","24735","24735","","","","10","10","10"
"714813","24769","24769","24769","","","","0","0","0"
"714857","24743","24743","24743","10","10","10","","",""
"715134","24775","24775","24775","","","","10","10","10"
"715170","24776","24776","24776","","","","10","10","10"
"715180","24753","24753","24753","10","10","10","","",""
"715194","24777","24777","24777","","","","10","10","10"
"715283","24779","24779","24779","","","","10","10","10"
"715478","24756","24756","24756","10","10","10","","",""
"715499","24757","24757","24757","10","10","10","","",""
"715563","24786","24786","24786","","","","10","10","10"
"715583","24787","24787","24787","","","","10","10","10"
"715760","24790","24790","24790","","","","10","10","10"
"715865","24793","24793","24793","10","10","10","","",""
"715976","24825","24825","24825","","","","0","0","0"
"716013","24795","24795","24795","10","10","10","","",""
"716127","24800","24800","24800","10","10","10","","",""
"716150","24830","24830","24830","","","","10","10","10"
"716253","24832","24832","24832","","","","10","10","10"
"716321","24805","24805","24805","0","0","0","","",""
"716380","24835","24835","24835","","","","10","10","10"
"716472","24810","24810","24810","10","10","10","","",""
"716517","24840","24840","24840","","","","10","10","10"
"716554","24842","24842","24842","","","","0","0","0"
"716588","24843","24843","24843","","","","10","10","10"
"716624","24844","24844","24844","","","","10","10","10"
"716651","24815","24815","24815","10","10","10","","",""
"716670","24816","24816","24816","0","0","0","","",""
"716975","24885","24885","24885","","","","0","0","0"
"717007","24851","24851","24851","10","10","10","","",""
"717029","24887","24887","24887","","","","10","10","10"
"717042","24852","24852","24852","10","10","10","","",""
"717296","24893","24893","24893","","","","10","10","10"
"717333","24859","24859","24859","0","0","0","","",""
"717353","24860","24860","24860","10","10","10","","",""
"717475","24864","24864","24864","0","0","0","","",""
"717512","24865","24865","24865","10","10","10","","",""
"717897","24903","24903","24903","10","10","10","","",""
"718061","24906","24906","24906","10","10","10","","",""
"718137","24909","24909","24909","0","0","0","","",""
"718293","24912","24912","24912","10","10","10","","",""
"718385","24944","24944","24944","","","","0","0","0"
"718456","24917","24917","24917","10","10","10","","",""
"718521","24945","24945","24945","","","","10","10","10"
"718584","24920","24920","24920","0","0","0","","",""
"718789","24924","24924","24924","10","10","10","","",""
"718805","24950","24950","24950","","","","10","10","10"
"718831","24926","24926","24926","10","10","10","","",""
"718866","24952","24952","24952","10","10","10","","",""
"718943","24955","24955","24955","0","0","0","","",""
"719033","24956","24956","24956","0","0","0","","",""
"719052","24988","24988","24988","","","","0","0","0"
"719116","24959","24959","24959","0","0","0","","",""
"719227","24992","24992","24992","","","","10","10","10"
"719355","24964","24964","24964","10","10","10","","",""
"719363","24995","24995","24995","","","","10","10","10"
"719490","24968","24968","24968","0","0","0","","",""
"719634","24970","24970","24970","0","0","0","","",""
"719738","24972","24972","24972","10","10","10","","",""
"719748","25005","25005","25005","","","","0","0","0"
"719802","25006","25006","25006","","","","0","0","0"
"719877","25032","25032","25032","","","","10","10","10"
"719965","25034","25034","25034","","","","10","10","10"
"720003","25035","25035","25035","","","","10","10","10"
"720058","25036","25036","25036","","","","10","10","10"
"720149","25039","25039","25039","","","","10","10","10"
"720286","25042","25042","25042","","","","10","10","10"
"720351","25017","25017","25017","0","0","0","","",""
"720472","25020","25020","25020","10","10","10","","",""
"720538","25047","25047","25047","","","","10","10","10"
"720559","25022","25022","25022","10","10","10","","",""
"720575","25048","25048","25048","","","","0","0","0"
"720581","25023","25023","25023","0","0","0","","",""
"720667","25051","25051","25051","","","","10","10","10"
"720706","25052","25052","25052","","","","0","0","0"
"720747","25026","25026","25026","10","10","10","","",""
"720870","25029","25029","25029","10","10","10","","",""
"720914","25090","25090","25090","","","","10","10","10"
"720935","25091","25091","25091","","","","0","0","0"
"720985","25058","25058","25058","0","0","0","","",""
"720993","25093","25093","25093","","","","0","0","0"
"721028","25094","25094","25094","","","","0","0","0"
"721190","25098","25098","25098","","","","10","10","10"
"721220","25063","25063","25063","0","0","0","","",""
"721418","25103","25103","25103","","","","10","10","10"
"721453","25104","25104","25104","","","","10","10","10"
"721476","25069","25069","25069","0","0","0","","",""
"721496","25070","25070","25070","10","10","10","","",""
"721578","25074","25074","25074","0","0","0","","",""
"721653","25107","25107","25107","","","","0","0","0"
"721724","25077","25077","25077","0","0","0","","",""
"721988","25141","25141","25141","","","","0","0","0"
"722075","25115","25115","25115","0","0","0","","",""
"722097","25116","25116","25116","0","0","0","","",""
"722216","25147","25147","25147","","","","10","10","10"
"722470","25124","25124","25124","0","0","0","","",""
"722540","25126","25126","25126","0","0","0","","",""
"722577","25127","25127","25127","0","0","0","","",""
"722642","25130","25130","25130","10","10","10","","",""
"722895","25136","25136","25136","10","10","10","","",""
"723025","25163","25163","25163","0","0","0","","",""
"723044","25164","25164","25164","0","0","0","","",""
"723099","25191","25191","25191","","","","10","10","10"
"723182","25167","25167","25167","0","0","0","","",""
"723220","25194","25194","25194","","","","0","0","0"
"723301","25198","25198","25198","","","","0","0","0"
"723480","25200","25200","25200","","","","10","10","10"
"723520","25202","25202","25202","","","","10","10","10"
"723537","25203","25203","25203","","","","0","0","0"
"723587","25204","25204","25204","","","","0","0","0"
"723639","25205","25205","25205","","","","10","10","10"
"723658","25206","25206","25206","","","","0","0","0"
"723726","25177","25177","25177","10","10","10","","",""
"723729","25208","25208","25208","","","","10","10","10"
"723873","25211","25211","25211","","","","10","10","10"
"723940","25212","25212","25212","","","","10","10","10"
"723965","25182","25182","25182","10","10","10","","",""
"723985","25213","25213","25213","0","0","0","","",""
"724021","25214","25214","25214","10","10","10","","",""
"724061","25240","25240","25240","","","","10","10","10"
"724080","25241","25241","25241","","","","0","0","0"
"724307","25221","25221","25221","0","0","0","","",""
"724502","25225","25225","25225","0","0","0","","",""
"724632","25253","25253","25253","","","","10","10","10"
"724672","25255","25255","25255","","","","10","10","10"
"724773","25229","25229","25229","0","0","0","","",""
"724868","25259","25259","25259","","","","10","10","10"
"724992","25235","25235","25235","10","10","10","","",""
"725046","25263","25263","25263","0","0","0","","",""
"725064","25264","25264","25264","10","10","10","","",""
"725102","25296","25296","25296","","","","10","10","10"
"725157","25297","25297","25297","","","","10","10","10"
"725241","25267","25267","25267","10","10","10","","",""
"725262","25268","25268","25268","10","10","10","","",""
"725312","25300","25300","25300","","","","0","0","0"
"725465","25303","25303","25303","","","","0","0","0"
"725776","25281","25281","25281","10","10","10","","",""
"725845","25282","25282","25282","10","10","10","","",""
"725895","25283","25283","25283","0","0","0","","",""
"725904","25316","25316","25316","","","","0","0","0"
"725916","25284","25284","25284","10","10","10","","",""
"725935","25285","25285","25285","0","0","0","","",""
"725958","25317","25317","25317","","","","10","10","10"
"725988","25286","25286","25286","0","0","0","","",""
"726094","25353","25353","25353","","","","0","0","0"
"726143","25319","25319","25319","10","10","10","","",""
"726255","25357","25357","25357","","","","0","0","0"
"726350","25326","25326","25326","10","10","10","","",""
"726420","25328","25328","25328","10","10","10","","",""
"726444","25329","25329","25329","0","0","0","","",""
"726569","25334","25334","25334","10","10","10","","",""
"726731","25368","25368","25368","","","","0","0","0"
"726765","25342","25342","25342","0","0","0","","",""
"726789","25370","25370","25370","","","","10","10","10"
"726818","25343","25343","25343","10","10","10","","",""
"726825","25371","25371","25371","","","","10","10","10"
"726935","25345","25345","25345","0","0","0","","",""
"726966","25375","25375","25375","","","","0","0","0"
"727033","25377","25377","25377","","","","0","0","0"
"727158","25414","25414","25414","","","","10","10","10"
"727318","25416","25416","25416","","","","10","10","10"
"727360","25384","25384","25384","10","10","10","","",""
"727384","25417","25417","25417","","","","0","0","0"
"727415","25386","25386","25386","0","0","0","","",""
"727489","25389","25389","25389","10","10","10","","",""
"727528","25391","25391","25391","0","0","0","","",""
"727555","25421","25421","25421","","","","0","0","0"
"727596","25393","25393","25393","0","0","0","","",""
"727666","25394","25394","25394","10","10","10","","",""
"727672","25423","25423","25423","","","","0","0","0"
"727789","25424","25424","25424","","","","10","10","10"
"727842","25399","25399","25399","10","10","10","","",""
"727874","25425","25425","25425","","","","10","10","10"
"727952","25402","25402","25402","0","0","0","","",""
"727986","25403","25403","25403","10","10","10","","",""
"728153","25462","25462","25462","","","","10","10","10"
"728250","25435","25435","25435","10","10","10","","",""
"728283","25436","25436","25436","0","0","0","","",""
"728338","25465","25465","25465","","","","10","10","10"
"728500","25469","25469","25469","","","","0","0","0"
"728523","25440","25440","25440","10","10","10","","",""
"728575","25471","25471","25471","","","","10","10","10"
"728599","25442","25442","25442","10","10","10","","",""
"728749","25475","25475","25475","","","","10","10","10"
"728757","25447","25447","25447","10","10","10","","",""
"728809","25448","25448","25448","10","10","10","","",""
"728971","25483","25483","25483","","","","10","10","10"
"728991","25453","25453","25453","10","10","10","","",""
"729038","25484","25484","25484","","","","10","10","10"
"729114","25487","25487","25487","0","0","0","","",""
"729366","25493","25493","25493","0","0","0","","",""
"729536","25498","25498","25498","0","0","0","","",""
"729700","25503","25503","25503","10","10","10","","",""
"729923","25509","25509","25509","10","10","10","","",""
"730132","25570","25570","25570","","","","0","0","0"
"730186","25571","25571","25571","","","","0","0","0"
"730272","25573","25573","25573","","","","10","10","10"
"730502","25579","25579","25579","","","","0","0","0"
"730652","25583","25583","25583","","","","0","0","0"
"730736","25584","25584","25584","","","","10","10","10"
"730817","25562","25562","25562","0","0","0","","",""
"730951","25564","25564","25564","0","0","0","","",""
"730972","25565","25565","25565","0","0","0","","",""
"730992","25566","25566","25566","0","0","0","","",""
"731063","25590","25590","25590","","","","10","10","10"
"731610","25625","25625","25625","","","","10","10","10"
"731634","25603","25603","25603","10","10","10","","",""
"731676","25605","25605","25605","10","10","10","","",""
"731837","25607","25607","25607","10","10","10","","",""
"731858","25608","25608","25608","10","10","10","","",""
"731869","25633","25633","25633","","","","10","10","10"
"731961","25610","25610","25610","10","10","10","","",""
